date,p_w25_ind,p_w25_vn,p_w25_th,p_h100_th,p_w5_th,p_w5_vn
2020-08-01,367.5,455.75,486.25,"1,031.00",504.5,475.75
2020-07-01,364,406.4,466.75,"1,049.00",480.25,427
2020-06-01,380,410,500.5,"1,127.25",520,435.75
2020-05-01,384.6,425,501.2,"1,133.20",519,455.8
2020-04-01,371.25,420,537.25,"1,146.50",566.25,446.75
2020-03-01,355,378.75,477,"1,083.50",493.5,403.75
2020-02-01,359,342,441.75,"1,110.00",450.25,362
2020-01-01,357,331,439.5,"1,155.50",450.75,345.8
2019-12-01,355,323.75,423.33,"1,164.67",431.67,343.5
2019-11-01,357.4,323.6,415.4,"1,208.40",421.6,340.8
2019-10-01,363,324.5,418,"1,271.00",423.75,337.5
2019-09-01,363,303.75,420.75,"1,298.00",427,316.25
2019-08-01,365,317.4,418.8,"1,247.80",427.8,336
2019-07-01,362.5,315.75,408.25,"1,171.75",414.5,332
2019-06-01,361.25,307.5,410.75,"1,186.50",419.5,332.75
2019-05-01,360,333.2,401.25,"1,185.75",409.25,353.6
2019-04-01,358.75,333.5,404,"1,185.00",413.33,354.5
2019-03-01,366,327.8,397.8,"1,199.40",405.2,347
2019-02-01,356.25,323.25,403.33,"1,223.33",410.67,334.5
2019-01-01,360,344.75,402,"1,200.67",409.67,354.25
2018-12-01,357.5,369.75,394.75,"1,169.50",403.5,381
2018-11-01,354,387.2,391,"1,158.60",401.6,406
2018-10-01,350.25,381.75,398,"1,143.33",410.33,404.25
2018-09-01,362,373.75,393,"1,164.25",405,396
2018-08-01,373,369.4,392.6,"1,158.40",405.2,388
2018-07-01,387.5,369.75,390,"1,149.75",398.25,393.25
2018-06-01,379.6,421.4,419,"1,245.80",431.2,445.6
2018-05-01,380.75,426.5,436.5,"1,191.00",451.25,449.5
2018-04-01,383.75,408.75,435.5,"1,178.00",451,431
2018-03-01,385,394,415.2,"1,174.20",426.6,414.6
2018-02-01,390,398,419,"1,168.50",436.25,419.25
2018-01-01,383.75,390.75,416.33,"1,100.33",436,413.25
2017-12-01,371,363.8,391.6,"1,029.60",407.4,386
2017-11-01,365.75,363.25,383.33,952.33,399,392.25
2017-10-01,362.5,364.75,379,985.5,393.75,390.25
2017-09-01,373,357,385,"1,063.80",399,380
2017-08-01,373.75,371.75,382,948.75,394.25,388.75
2017-07-01,378.75,374.5,398.5,850.75,416.75,396.75
2017-06-01,375,378.4,427,798.6,454.2,405.2
2017-05-01,360,331.5,394,717.33,415.33,352.25
2017-04-01,350,328.5,368.75,696.75,379.5,342.25
2017-03-01,344,333,363.6,683,370,351.2
2017-02-01,345,326.25,361.25,695.75,367.25,345.75
2017-01-01,337.75,321.5,368.67,689,377.33,335
2016-12-01,329,320,363.75,681.75,373.25,333.2
2016-11-01,325,324,353.5,630,360,336.75
2016-10-01,328,316.75,364.5,739.25,368.75,333.25
2016-09-01,326,319.2,378.8,770.4,385,330
2016-08-01,337,327.5,409,783.25,421.75,343
2016-07-01,362,332,423.25,816.25,441.5,351.8
2016-06-01,361,337.3,421.5,829.75,440.75,357.5
2016-05-01,346,345.8,415.33,802.33,433,365.3
2016-04-01,327,345.2,383,796.5,392.5,363.8
2016-03-01,322.5,341.3,374.5,793,383.75,356.8
2016-02-01,316.3,330.3,373.5,795,383.75,343.8
2016-01-01,321.4,340.4,360.75,783,369.25,353
2015-12-01,326,345,355.75,781.5,362.5,365
2015-11-01,310.3,345,359.25,886.5,368,365
2015-10-01,312,332.2,358,983.6,368.4,350.8
2015-09-01,324.8,314.5,348.25,980,358.5,325
2015-08-01,338.8,315.8,362.25,997,373.25,331.5
2015-07-01,351,323,376.4,"1,030.60",392.4,341
2015-06-01,344,332.8,364.75,"1,047.50",376.25,346.3
2015-05-01,346.8,333.4,371.67,"1,057.00",384.67,354.4
2015-04-01,348,340,385.33,"1,086.67",401,360
2015-03-01,348,345,391.5,"1,082.50",409.5,364
2015-02-01,350,334,399.67,"1,083.00",420,353
2015-01-01,349,349,399.5,"1,078.00",419.75,376
2014-12-01,350,355,398.25,"1,058.00",418,384
2014-11-01,362,379,399.67,"1,062.00",418,412
2014-10-01,371,403,409.2,"1,166.75",428,440
2014-09-01,384,408,410.5,"1,177.50",432.25,448
2014-08-01,385,409,407.8,"1,185.00",442,452
2014-07-01,385,379,373,"1,177.50",419.75,425
2014-06-01,385,365,356.25,"1,164.00",397,402
2014-05-01,384,364,346.6,"1,166.00",389.4,398
2014-04-01,381,356,352,"1,172.00",394.67,386
2014-03-01,381,358,365.75,"1,170.00",421.75,384
2014-02-01,378,368,382.25,"1,158.00",459.25,388
2014-01-01,373,380,376.75,"1,146.00",450.25,401
2013-12-01,382,398,398.67,"1,163.00",451,424
2013-11-01,379,375,407.75,"1,176.00",437.25,405
2013-10-01,386,362,425.25,"1,149.00",440.25,388
2013-09-01,376,340,427.75,"1,127.00",444,362
2013-08-01,388,362,484,"1,139.00",488.8,393
2013-07-01,428,352,521,"1,175.00",525.33,386
2013-06-01,416,341,528.75,"1,187.00",533.75,364
2013-05-01,418,352,551.6,"1,220.00",556.8,372
2013-04-01,418,361,564.33,"1,244.00",569.33,384
2013-03-01,415,369,570.5,"1,216.00",576.5,401
2013-02-01,420,369,584,"1,197.00",599,404
2013-01-01,398,373,579.33,"1,171.00",594.67,404
2012-12-01,390,384,567.75,"1,098.00",583.25,412
2012-11-01,396,418,566.6,"1,111.00",581.6,446
2012-10-01,410,420,564.75,"1,111.00",578.25,450
2012-09-01,405,421,565.5,"1,093.00",585.25,451
2012-08-01,391,407,552.4,"1,068.60",568,434
2012-07-01,394,379,564,"1,062.00",587.5,411
2012-06-01,382,369,578.8,"1,062.00",609.2,413
2012-05-01,378.75,388,580,"1,078.00",602.5,434
2012-04-01,383.75,384,553.25,"1,091.00",552.25,431
2012-03-01,379,387,551.25,"1,120.00",551.25,428
2012-02-01,395,395,542.25,"1,110.00",547,431
2012-01-01,390,410,529,"1,087.00",531,446
2011-12-01,384,464,586.8,"1,125.00",603.2,492
2011-11-01,396.25,515,593.5,"1,141.00",632.25,560
2011-10-01,418.75,524,556,"1,140.00",604,576
2011-09-01,436.67,515,550,"1,110.00",601,555
2011-08-01,,530,520,"1,096.00",566,564
2011-07-01,,466,490,"1,062.00",532,505
2011-06-01,,430.5,468,"1,007.00",501.8,464
2011-05-01,,438,460,993.25,483.25,469
2011-04-01,,421.2,465.25,990.5,490.25,457.2
2011-03-01,,425.75,475.5,984,507.25,461.75
2011-02-01,,420,489.67,978,537.67,459.75
2011-01-01,,455,471.75,"1,016.25",525,495
2010-12-01,,458.5,485.8,"1,141.00",547,494.6
2010-11-01,,451.67,477.5,"1,152.00",523.5,481
2010-10-01,,432.5,464.25,"1,140.25",493.5,463
2010-09-01,,427,451,"1,105.25",482,455.75
2010-08-01,,332.5,417.25,"1,021.25",453.75,374.25
2010-07-01,,325.4,397,997.6,437.75,354.6
2010-06-01,,343,390.5,957.25,442.75,368.75
2010-05-01,,331.67,390,983.33,446,361.67
2010-04-01,,328,411.25,"1,000.00",466,357
2010-03-01,,361.25,453,"1,004.75",501.5,386
2010-02-01,,401.25,484.75,"1,015.75",542.25,420
2010-01-01,,451.25,502.75,"1,024.00",569.5,478
2009-12-01,,487.5,496,"1,009.00",587.5,520
2009-11-01,,432.5,442.75,"1,083.25",527.25,481.25
2009-10-01,,360,422.4,"1,059.60",504,411.8
2009-09-01,,332.5,440.25,"1,022.50",529.5,379.5
2009-08-01,,345,443,971.75,532.5,400
2009-07-01,,358.75,459.2,956.2,556,413
2009-06-01,,361.67,457,916.33,551.33,405
2009-05-01,,376.67,445.4,901.2,528.8,426
2009-04-01,,400,473.33,888,568,460
2009-03-01,,400,487.75,880,607.75,460
2009-02-01,,393.33,479.5,879,594.5,425
2009-01-01,,360,471,876.33,577,407
2008-12-01,,323,454.5,820.25,566.25,413.75
2008-11-01,,352.25,464.5,810.25,576.25,433.5
2008-10-01,,431,537.8,835.4,667.4,516.6
2008-09-01,,488.75,626.5,899.25,748.5,546.5
2008-08-01,,548,658,943,770.6,599
2008-07-01,,738.75,714.75,"1,021.00",818,769.5
2008-06-01,,791.25,764.25,"1,096.00",854,842.75
2008-05-01,,862.5,869,"1,210.20",946,996
2008-04-01,,755,786.67,"1,104.33",836.25,837.5
2008-03-01,,555,540,837,554.25,587.5
2008-02-01,,430,454.67,747.6,468.25,444
2008-01-01,345,356.67,368.25,643.33,376,376.67
2007-12-01,,342,355,610.67,365.67,360
2007-11-01,322.5,305,336.25,587,348.75,342.5
2007-10-01,305,300,316.75,567.75,331.33,324.25
2007-09-01,301.67,296,302.67,546.33,323,312.5
2007-08-01,298.33,288.75,299.5,547.75,327,306.25
2007-07-01,285,287,303.33,546,325.33,305
2007-06-01,,285.4,298.67,533,321.8,304
2007-05-01,,285,291.67,530,314,305
2007-04-01,,285.67,289,542.33,311.33,301
2007-03-01,260,287.5,293.25,537,315.25,305
2007-02-01,270,280,291,522.5,312,295
2007-01-01,270,280,283.25,529,308.75,295
2006-12-01,270,281.67,273.33,490.33,303.33,296.67
2006-11-01,257,282.5,267,453.75,296.5,297.5
2006-10-01,252,251,267,494,297.5,275.5
2006-09-01,252,252,271.75,514.5,306.25,269
2006-08-01,243,250,273.5,519.5,309.75,265
2006-07-01,243,245,274,510.75,313,261.75
2006-06-01,243,233.4,272,479.2,311.6,255.6
2006-05-01,243,237,270.5,467,308,253
2006-04-01,243,230.5,266.5,441.5,302,245.75
2006-03-01,238.2,240,265.2,436,300.8,251.6
2006-02-01,237.75,244.5,263,422.75,300.25,260.5
2006-01-01,237,243.5,263.25,408.25,296,260.5
2005-12-01,237,242.75,250.75,387.5,280.25,262
2005-11-01,236,243,250.25,382.75,276.5,261
2005-10-01,236,240,260.25,395,286.5,258
2005-09-01,229.4,240,257.75,400.75,284,258
2005-08-01,228.75,237.5,254.75,406.25,282.5,255.5
2005-07-01,239.6,222.4,246.6,377.2,273,241.2
2005-06-01,242,229.5,254.5,382.25,283,242.5
2005-05-01,237,239,262.75,403,290.75,251.75
2005-04-01,,245,267.75,416.75,295,257.5
2005-03-01,,244,266,426.67,289.33,258
2005-02-01,,247,268.75,436.5,291.5,261
2005-01-01,,242.5,264.5,432.5,287.5,252.5
2004-12-01,,225.5,253,423.5,274.75,238
2004-11-01,,216.5,241.75,435,260,228
2004-10-01,,211.25,227,382,245.4,221.75
2004-09-01,,215.5,224.25,370,234.5,225.25
2004-08-01,,220,227.75,385.75,239.25,229
2004-07-01,,215,222.75,400,232.5,224
2004-06-01,,225,222.75,443,230.5,231
2004-05-01,,221.5,224,484.25,230.75,237
2004-04-01,,223.25,231.25,503.75,241.25,241.25
2004-03-01,,203.75,232.25,495,244.75,219
2004-02-01,,187.5,199.75,487.5,214,201.75
2004-01-01,,178,195,510,212,193.25
2003-12-01,,180,179.67,450,196.67,200
2003-11-01,,178.75,177.5,429.25,192.5,197.5
2003-10-01,,172.6,178.8,485,194,190.6
2003-09-01,175,165.75,176.25,543,194.75,185
2003-08-01,175,162.25,171.75,487.5,191,182
2003-07-01,175,161.5,176.25,481.5,195.75,181.5
2003-06-01,175,163.5,179.5,485.5,201.25,183.25
2003-05-01,161,168.2,172.8,460,195.6,185.4
2003-04-01,155,163,171,441.67,193,175.33
2003-03-01,150,162,171.75,438,193.25,173
2003-02-01,150,160.5,176.25,354.5,195.75,171
2003-01-01,150,160.8,176.8,336.8,197.6,172.4
2002-12-01,150,164.33,171.67,308.33,187.67,181
2002-11-01,142.8,171.8,171.4,313,185,188
2002-10-01,138,169.5,173.5,324.5,187,185.5
2002-09-01,138,171,169.75,352.75,185.5,191
2002-08-01,136.6,168.2,170,343.6,189.6,190.8
2002-07-01,135,166,176.5,361.5,197.25,190.5
2002-06-01,132.75,167.75,177.75,325.75,202.5,190.5
2002-05-01,132,173,174.25,284.5,197.25,191.33
2002-04-01,129,166.25,166.75,271.25,190.75,183.75
2002-03-01,128.5,158.25,166.25,268.25,189.75,173.75
2002-02-01,130.67,167.33,169,267,193.67,185.67
2002-01-01,132,177,168.75,253.5,190.75,192
2001-12-01,132,185,156.5,251.75,177.75,197
2001-11-01,134.4,170,152.6,238.2,173,190.2
2001-10-01,138,157.5,154,253.25,168.5,176
2001-09-01,138,152.25,158.75,240.5,172,172.5
2001-08-01,137.6,153.6,154.8,256.8,169.2,176.6
2001-07-01,211,139.25,153.5,264.5,167.75,155.5
2001-06-01,236,134.4,149.8,272,165.8,150.8
2001-05-01,214,135.5,144,279.75,161,151.25
2001-04-01,214,129,142,286,162,146.25
2001-03-01,217.6,132.2,148.6,297.4,171.4,150.6
2001-02-01,223,144,158.75,331,184,162.67
2001-01-01,223,148.5,157.75,334,181.5,167.25
2000-12-01,223,149,157.4,336.4,180.4,169.2
2000-11-01,223,155,157.5,386.25,182.5,177.25
2000-10-01,220,156.25,162.25,438.75,186,178.25
2000-09-01,220,150.4,157.8,456.8,177.6,172.4
2000-08-01,226.33,154.5,163.5,471.25,184,179.25
2000-07-01,239.5,156,164.5,490,185,183
2000-06-01,241.8,143.2,165,461.2,189.8,173.6
2000-05-01,244,144,167.25,447.5,192.75,172.25
2000-04-01,238,153,177.75,412.5,206.75,176.5
2000-03-01,238,168,187,409.8,221.2,192.4
2000-02-01,238,182.75,198.75,414,233.75,206
2000-01-01,238,192.75,201.75,415.5,235,221.5
