Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
11.562330923439603,11.238455018706981,11.886206828172226,11.067005471227688,12.057656375651518
11.676184941409662,11.303951944819872,12.048417937999453,11.106903699212141,12.245466183607183
11.727074331766392,11.312685684528672,12.141462979004112,11.093321585466978,12.360827078065807
11.511863076139681,11.064296110508796,11.959430041770567,10.827368470623254,12.196357681656108
11.661662103254578,11.177518184107958,12.145806022401198,10.921227874641854,12.402096331867302
11.625847387230788,11.110163291486828,12.141531482974749,10.837176621081198,12.414518153380378
11.560163495457225,11.015424268555893,12.104902722358556,10.72705674080308,12.39327025011137
11.632936308598829,11.058720229006473,12.207152388191185,10.754748598011826,12.511124019185832
11.449616595729516,10.850889444291719,12.048343747167314,10.533942435645553,12.36529075581348
11.624985759105606,10.998302317410188,12.251669200801024,10.666556142651846,12.583415375559365
11.760735208970493,11.107073610396663,12.414396807544323,10.761046062059611,12.760424355881375
11.847408179357151,11.167929583429338,12.526886775284964,10.808235342235747,12.886581016478555
11.562027131877915,10.862191625369254,12.261862638386576,10.491721086661208,12.632333177094623
11.675895071247412,10.952302146643387,12.399487995851437,10.569255190479744,12.78253495201508
11.726797745048525,10.980541883096674,12.473053607000377,10.585497892587284,12.868097597509767
11.511599164145753,10.746326802983363,12.276871525308144,10.341216085877013,12.681982242414493
11.661410285159056,10.874096330004962,12.44872424031315,10.45731749785708,12.865503072461031
11.625607108824765,10.818429271088167,12.432784946561362,10.39113513468274,12.86007908296679
11.559934227928686,10.733810115110032,12.38605834074734,10.296486426515724,12.823382029341648
11.632717547368838,10.786788897980989,12.478646196756687,10.338981321010888,12.926453773726788
11.449407859341713,10.586579709448861,12.312236009234566,10.129826077301852,12.768989641381575
11.624786588166613,10.742259053709434,12.507314122623791,10.275077197295595,12.97449597903763
11.760545165138858,10.858593110886119,12.662497219391597,10.381128534824763,13.139961795452953
11.84722684437864,10.926328680247114,12.768125008510168,10.438834639450207,13.255619049307075
