Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,
12.74230456,12.38256261,13.11288785,12.19646214,13.29134787," 341,911 ",
12.74034385,12.34621836,13.13832395,12.14921464,13.34285607," 341,241 ",
12.73838344,12.32227205,13.16836137,12.09720852,13.39787263," 340,573 ",
12.73642333,12.29180881,13.19469859,12.05492133,13.4494066," 339,906 ",
12.73446352,12.26237393,13.22332381,12.03572775,13.47532799," 339,240 ",
12.73250401,12.2384782,13.25733442,11.995253,13.51634947," 338,576 ",
12.73054481,12.19008946,13.27223931,11.92280268,13.58095872," 337,913 ",
12.72858591,12.17767216,13.29832288,11.88574985,13.62000619," 337,252 ",
12.7266273,12.15320524,13.32382896,11.89884053,13.63357905," 336,592 ",
12.724669,12.12535488,13.32071429,11.83912803,13.65108969," 335,934 ",
12.722711,12.11072201,13.37553581,11.78697536,13.73223953," 335,277 ",
12.72075331,12.072743,13.38947861,11.76027925,13.75605913," 334,621 "," 4,059,034 "
12.71879591,12.06166497,13.39806067,11.74390578,13.75733408," 333,966 ",
12.71683881,12.03314701,13.41646147,11.68679276,13.80164267," 333,314 ",
12.71488202,12.03216404,13.44141268,11.69064167,13.86009313," 332,662 ",
12.71292553,11.99402185,13.44911211,11.60531707,13.87982041," 332,012 ",
12.71096933,11.97407462,13.46716739,11.62032019,13.87802898," 331,363 ",
12.70901344,11.96011716,13.50602124,11.594756,13.9306298," 330,715 ",
12.70705785,11.92926347,13.52773248,11.5634124,13.94986393," 330,069 ",
12.70510256,11.93123592,13.52683222,11.49715816,13.95703225," 329,425 ",
12.70314758,11.91136105,13.52995471,11.52486635,13.9986696," 328,781 ",
12.70119289,11.88876356,13.54878255,11.49067136,13.99845862," 328,139 ",
12.6992385,11.8532404,13.54291743,11.45078457,14.01114293," 327,498 ",
12.69728441,11.84382005,13.55832082,11.4453954,14.04749892," 326,859 "," 3,964,803 "
